run_id,run_attempt,attempt_at,workflow,event,conclusion,branch,commit_label,billed_min,carried_min,fast_path,is_full_green,build_steps,dup_build_sec,p3_billed_min,bucket,bucket_reason,p1_baseline
32315802055,1,2026-08-20T00:03:30Z,CI,pull_request,success,flywheel-FLY-1851,docs,6,0,true,false,1,0,0,1_already_fast,classify succeeded AND payload skipped in this attempt => real no_code fast path,
32316487337,1,2026-08-20T00:13:50Z,CI,pull_request,cancelled,flywheel-FLY-1911,docs,57,0,false,false,8,513,10,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32316544292,1,2026-08-20T00:14:44Z,CI,pull_request,failure,flywheel-FLY-1887,chore_progress,49,0,false,false,7,406,7,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32316760400,1,2026-08-20T00:18:03Z,Payload Beta Release,schedule,failure,main,code,2,0,false,false,0,0,0,non_ci,not the CI workflow; classifier levers do not apply,
32316974299,1,2026-08-20T00:21:20Z,CI,pull_request,success,flywheel-FLY-1859,chore_progress,60,0,false,true,8,513,8,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32317180336,1,2026-08-20T00:24:42Z,CI,pull_request,cancelled,flywheel-FLY-1911,other,46,0,false,false,8,524,14,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32317328014,1,2026-08-20T00:26:43Z,Ship on :cool: Comment,issue_comment,success,main,code,1,0,false,false,0,0,0,non_ci,not the CI workflow; classifier levers do not apply,
32317350485,1,2026-08-20T00:27:03Z,CI,push,success,main,other,58,0,false,false,8,490,9,4_must_run_full,event=push is not a pull_request; P0/P1 are PR-scoped and research section 8 keeps main push CI full,
32317351371,1,2026-08-20T00:27:10Z,Ship on :cool: Comment,issue_comment,skipped,main,other,0,0,false,false,0,0,0,non_ci,not the CI workflow; classifier levers do not apply,
32317521926,1,2026-08-20T00:30:18Z,CI,pull_request,cancelled,flywheel-FLY-1911,other,26,0,false,false,8,552,7,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32317734546,1,2026-08-20T00:33:24Z,CI,pull_request,failure,flywheel-FLY-1911,other,60,0,false,false,8,525,10,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32317772748,1,2026-08-20T00:33:38Z,CI,pull_request,failure,flywheel-FLY-1905,docs,57,0,false,false,8,459,8,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
32317775884,1,2026-08-20T00:33:41Z,Ship on :cool: Comment,issue_comment,skipped,main,other,0,0,false,false,0,0,0,non_ci,not the CI workflow; classifier levers do not apply,
32318582071,1,2026-08-20T00:46:46Z,CI,pull_request,failure,flywheel-FLY-1814,code,57,0,false,false,8,453,8,4_must_run_full,not a P0 case; branch has no prior qualifying full-green baseline,
